date,coronavirus,Country
2019-12-31,0,Australia
2020-01-01,0,Australia
2020-01-02,0,Australia
2020-01-03,0,Australia
2020-01-04,0,Australia
2020-01-05,0,Australia
2020-01-06,0,Australia
2020-01-07,0,Australia
2020-01-08,0,Australia
2020-01-09,0,Australia
2020-01-10,0,Australia
2020-01-11,0,Australia
2020-01-12,0,Australia
2020-01-13,0,Australia
2020-01-14,0,Australia
2020-01-15,0,Australia
2020-01-16,0,Australia
2020-01-17,0,Australia
2020-01-18,0,Australia
2020-01-19,0,Australia
2020-01-20,1,Australia
2020-01-21,4,Australia
2020-01-22,3,Australia
2020-01-23,4,Australia
2020-01-24,6,Australia
2020-01-25,20,Australia
2020-01-26,17,Australia
2020-01-27,19,Australia
2020-01-28,21,Australia
2020-01-29,20,Australia
2020-01-30,20,Australia
2020-01-31,19,Australia
2020-02-01,16,Australia
2020-02-02,14,Australia
2020-02-03,12,Australia
2020-02-04,11,Australia
2020-02-05,11,Australia
2020-02-06,11,Australia
2020-02-07,12,Australia
2020-02-08,11,Australia
2020-02-09,9,Australia
2020-02-10,10,Australia
2020-02-11,9,Australia
2020-02-12,8,Australia
2020-02-13,10,Australia
2020-02-14,8,Australia
2020-02-15,7,Australia
2020-02-16,7,Australia
2020-02-17,6,Australia
2020-02-18,6,Australia
2020-02-19,5,Australia
2020-02-20,5,Australia
2020-02-21,6,Australia
2020-02-22,6,Australia
2020-02-23,8,Australia
2020-02-24,11,Australia
2020-02-25,12,Australia
2020-02-26,15,Australia
2020-02-27,16,Australia
2020-02-28,17,Australia
2020-02-29,17,Australia
2020-03-01,19,Australia
2020-03-02,23,Australia
2020-03-03,26,Australia
2020-03-04,29,Australia
2020-03-05,28,Australia
2020-03-06,25,Australia
2020-03-07,25,Australia
2020-03-08,28,Australia
2020-03-09,30,Australia
2020-03-10,36,Australia
2020-03-11,38,Australia
2020-03-12,63,Australia
2020-03-13,73,Australia
2020-03-14,68,Australia
2020-03-15,79,Australia
2020-03-16,81,Australia
2020-03-17,80,Australia
2020-03-18,71,Australia
2020-03-19,65,Australia
2020-03-20,66,Australia
2020-03-21,74,Australia
2020-03-22,100,Australia
2020-03-23,83,Australia
2020-03-24,81,Australia
2020-03-25,79,Australia
2020-03-26,70,Australia
2020-03-27,72,Australia
2020-03-28,75,Australia
2020-03-29,78,Australia
2020-03-30,60,Australia
2020-03-31,55,Australia
2020-04-01,51,Australia
2020-04-02,48,Australia
2020-04-03,61,Australia
2020-04-04,64,Australia
2020-04-05,63,Australia
2020-04-06,60,Australia
2020-04-07,58,Australia
2020-04-08,54,Australia
2020-04-09,51,Australia
2020-04-10,51,Australia
2020-04-11,38,Australia
2020-04-12,43,Australia
2020-04-13,55,Australia
2020-04-14,47,Australia
2020-04-15,46,Australia
2020-04-16,45,Australia
2020-04-17,41,Australia
2020-04-18,32,Australia
2019-12-31,0,Canada
2020-01-01,0,Canada
2020-01-02,0,Canada
2020-01-03,0,Canada
2020-01-04,0,Canada
2020-01-05,0,Canada
2020-01-06,0,Canada
2020-01-07,0,Canada
2020-01-08,0,Canada
2020-01-09,0,Canada
2020-01-10,0,Canada
2020-01-11,0,Canada
2020-01-12,0,Canada
2020-01-13,0,Canada
2020-01-14,0,Canada
2020-01-15,0,Canada
2020-01-16,0,Canada
2020-01-17,0,Canada
2020-01-18,0,Canada
2020-01-19,0,Canada
2020-01-20,1,Canada
2020-01-21,3,Canada
2020-01-22,5,Canada
2020-01-23,7,Canada
2020-01-24,10,Canada
2020-01-25,15,Canada
